,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,1596815759,-21.2,-175.2,64.4,88,20,4.7
1,Pisco,PE,1596815760,-13.7,-76.22,63.0,82,75,3.36
2,Hambantota,LK,1596815760,6.12,81.12,82.4,83,40,17.22
3,Busselton,AU,1596815760,-33.65,115.33,52.0,55,100,15.14
4,Saint Paul Harbor,US,1596815760,57.79,-152.41,53.6,81,90,3.36
5,Khovd,MN,1596815760,48.01,91.64,62.83,54,9,5.79
6,Erenhot,CN,1596815760,43.65,111.98,78.98,41,93,8.68
7,Poum,NC,1596815760,-20.23,164.02,71.96,73,8,17.65
8,Lopatino,RU,1596815760,52.62,45.81,71.42,73,17,11.23
9,Saskylakh,RU,1596815760,71.92,114.08,59.25,68,100,5.7
10,Yakuplu,TR,1596815760,40.99,28.68,86.0,51,0,18.34
11,Lebu,CL,1596815761,-37.62,-73.65,51.31,69,72,14.76
12,Port Elizabeth,ZA,1596815761,-33.92,25.57,59.0,72,0,9.17
13,Mataura,NZ,1596815761,-46.19,168.86,37.99,89,71,4.0
14,Larsnes,NO,1596815761,62.2,5.58,68.0,68,75,18.34
15,Itoman,JP,1596815761,26.12,127.67,84.2,79,20,12.75
16,Songjianghe,CN,1596815761,42.19,127.48,59.41,94,11,2.04
17,Port Hardy,CA,1596815761,50.7,-127.42,55.4,93,90,10.29
18,Cidreira,BR,1596815761,-30.18,-50.21,70.11,57,0,4.65
19,Eenhana,NA,1596815761,-17.47,16.33,80.64,14,0,1.97
20,Cabo San Lucas,MX,1596815585,22.89,-109.91,87.01,69,5,9.17
21,Katherine,AU,1596815761,-14.47,132.27,60.8,41,22,4.7
22,Hammerfest,NO,1596815762,70.66,23.68,55.4,76,75,20.8
23,Klaksvík,FO,1596815762,62.23,-6.59,51.8,100,80,6.93
24,Lompoc,US,1596815762,34.64,-120.46,57.2,93,90,10.29
25,Vao,NC,1596815762,-22.67,167.48,69.31,68,22,8.01
26,Puerto Ayora,EC,1596815762,-0.74,-90.35,69.01,88,75,9.17
27,Maumere,ID,1596815762,-8.62,122.21,75.16,76,95,5.68
28,Hermanus,ZA,1596815762,-34.42,19.23,59.0,63,0,1.01
29,Albany,US,1596815763,42.6,-73.97,66.99,90,89,4.29
30,Pouébo,NC,1596815763,-20.4,164.57,66.85,81,22,10.0
31,Mount Isa,AU,1596815763,-20.73,139.5,57.2,58,98,9.17
32,Itarema,BR,1596815763,-2.92,-39.92,87.67,45,5,16.64
33,Pangnirtung,CA,1596815763,66.15,-65.71,46.4,87,75,14.99
34,Saint George,US,1596815763,37.1,-113.58,82.0,11,1,4.03
35,Evinayong,GQ,1596815763,1.44,10.55,75.9,71,78,4.76
36,Havøysund,NO,1596815763,71.0,24.66,55.4,76,75,12.75
37,Jamestown,US,1596815646,42.1,-79.24,73.99,68,1,4.7
38,Isangel,VU,1596815763,-19.55,169.27,64.4,77,61,3.36
39,Ushuaia,AR,1596815755,-54.8,-68.3,39.2,64,40,4.7
40,Thompson,CA,1596815763,55.74,-97.86,75.2,64,20,2.24
41,Mahébourg,MU,1596815763,-20.41,57.7,69.8,73,40,6.93
42,Thung Song,TH,1596815763,8.16,99.68,76.17,89,99,2.42
43,Upernavik,GL,1596815764,72.79,-56.15,41.32,68,20,5.77
44,Iqaluit,CA,1596815764,63.75,-68.51,50.0,81,75,5.82
45,Port Lincoln,AU,1596815764,-34.73,135.87,51.82,76,100,15.86
46,Coos Bay,US,1596815717,43.37,-124.22,57.2,82,1,6.31
47,Pochutla,MX,1596815764,15.74,-96.47,75.2,83,90,11.41
48,Seydişehir,TR,1596815764,37.42,31.85,87.94,23,1,6.42
49,Kapaa,US,1596815406,22.08,-159.32,78.8,83,75,11.41
50,Rikitea,PF,1596815764,-23.12,-134.97,69.39,67,94,15.93
51,Hobart,AU,1596815742,-42.88,147.33,44.01,100,90,5.82
52,Chui,UY,1596815764,-33.7,-53.46,57.49,88,100,6.4
53,Ponta Delgada,PT,1596815764,37.73,-25.67,75.2,73,40,4.7
54,Kruisfontein,ZA,1596815764,-34.0,24.73,60.01,67,0,6.98
55,Punta Arenas,CL,1596815764,-53.15,-70.92,42.8,60,20,31.09
56,Butaritari,KI,1596815765,3.07,172.79,83.08,78,0,16.78
57,Orlik,RU,1596815765,52.52,99.83,45.91,72,52,2.46
58,Abaeté,BR,1596815765,-19.16,-45.45,78.76,35,0,5.35
59,Ancud,CL,1596815765,-41.87,-73.82,48.99,100,90,8.05
60,Yellowknife,CA,1596815765,62.46,-114.35,71.01,64,75,10.29
61,Vila,PT,1596815765,42.03,-8.16,91.99,32,0,10.0
62,Kirakira,SB,1596815765,-10.45,161.92,77.25,79,51,11.41
63,Anamur,TR,1596815765,36.08,32.84,87.8,74,0,11.41
64,Barrow,US,1596815765,71.29,-156.79,37.4,86,90,12.75
65,Port Blair,IN,1596815765,11.67,92.75,80.53,85,100,10.98
66,Tomakomai,JP,1596815765,42.64,141.6,66.0,93,75,5.82
67,Narsaq,GL,1596815765,60.92,-46.05,46.4,93,75,4.7
68,George Town,MY,1596815766,5.41,100.34,84.0,83,20,0.38
69,East London,ZA,1596815766,-33.02,27.91,59.56,73,3,8.32
70,Lagoa,PT,1596815766,39.05,-27.98,68.59,72,100,13.13
71,Hithadhoo,MV,1596815766,-0.6,73.08,83.37,79,100,15.05
72,Bull Savanna,JM,1596815766,17.89,-77.59,85.3,61,0,9.93
73,Rawlins,US,1596815761,41.79,-107.24,71.6,14,1,3.36
74,Dikson,RU,1596815766,73.51,80.55,45.1,100,100,15.19
75,Wote,KE,1596815766,-1.78,37.63,74.84,42,33,7.96
76,Ocós,GT,1596815766,14.51,-92.19,82.4,94,75,3.71
77,Port Alfred,ZA,1596815766,-33.59,26.89,57.87,75,7,10.22
78,Torbay,CA,1596815766,47.67,-52.73,73.99,60,40,20.8
79,Chokurdakh,RU,1596815766,70.63,147.92,46.22,95,85,5.64
80,Skjervøy,NO,1596815766,70.03,20.97,55.4,82,75,11.41
81,Sitka,US,1596815767,57.05,-135.33,55.4,87,90,6.93
82,New Norfolk,AU,1596815767,-42.78,147.06,43.0,82,98,1.5
83,Castro,BR,1596815767,-24.79,-50.01,71.42,39,0,5.7
84,Bosaso,SO,1596815767,11.28,49.18,90.97,53,88,10.98
85,Yoichi,JP,1596815767,43.2,140.77,64.0,88,86,3.0
86,Lorengau,PG,1596815767,-2.02,147.27,80.47,78,100,3.96
87,Narasapuram,IN,1596815767,16.45,81.67,83.84,83,100,5.61
88,Kaniama,CD,1596815767,-7.57,24.18,88.0,22,0,4.92
89,Esna,EG,1596815768,25.29,32.55,105.8,21,0,5.82
90,Eastbourne,GB,1596815768,50.77,0.28,91.99,37,0,5.01
91,Hilo,US,1596815649,19.73,-155.09,75.2,88,75,3.36
92,Ostrovnoy,RU,1596815768,68.05,39.51,56.68,92,100,6.62
93,Yangi Marg`ilon,UZ,1596815768,40.43,71.72,86.0,48,0,2.24
94,Oranjemund,NA,1596815768,-28.55,16.43,72.46,20,0,17.58
95,Collierville,US,1596815768,35.04,-89.66,84.0,65,75,3.36
96,Rome,US,1596815525,43.21,-75.46,73.99,73,1,4.7
97,Grindavik,IS,1596815768,63.84,-22.43,50.0,100,90,14.99
98,Amapá,BR,1596815768,1.0,-52.0,91.04,43,0,5.28
99,Lavrentiya,RU,1596815769,65.58,-171.0,40.55,75,97,1.34
100,Faya,SA,1596815769,18.39,42.45,71.6,49,75,9.17
101,Meulaboh,ID,1596815769,4.14,96.13,78.26,83,100,3.98
102,Katsuura,JP,1596815769,35.13,140.3,81.0,88,20,8.05
103,Mar del Plata,AR,1596815717,-38.0,-57.56,50.0,76,100,5.82
104,Merauke,ID,1596815705,-8.47,140.33,77.11,90,100,8.97
